,listing_id,travel_score
197,Rome10217464,1.0
198,Rome1021783543314076447,1.0
199,Rome1021897011694220824,1.0
200,Rome1021984407534158293,1.0
201,Rome10221380,1.0
202,Rome1022230783191420681,3.0
203,Rome1022397757884254328,3.0
204,Rome10224326,1.0
205,Rome10228073,1.0
206,Rome1023686567920610919,2.0
207,Rome10237099,3.0
208,Rome1023861168656465874,1.0
209,Rome1024569013470723097,1.0
210,Rome1024605599530820661,3.0
211,Rome1025214153500086543,5.0
212,Rome1025333982121199728,2.0
213,Rome1025893345561399202,3.0
214,Rome1026015824181505374,2.0
215,Rome10261325,1.0
216,Rome1026236817813536823,1.0
217,Rome10265469,2.0
218,Rome1026670783536740446,1.0
219,Rome10266798,2.0
220,Rome1026685119910774994,1.0
221,Rome102672,1.0
222,Rome10270479,5.0
223,Rome1027241075407499595,1.0
224,Rome1027318468830783173,2.0
225,Rome1027426858213225160,3.0
226,Rome10274572,2.0
227,Rome10274596,2.0
228,Rome10274635,2.0
229,Rome1027483042940952075,5.0
230,Rome10275643,2.0
231,Rome10277520,5.0
232,Rome1028203959780866388,1.0
233,Rome1028658171666609457,1.0
234,Rome1028743512114913499,2.0
235,Rome1028802573369019201,1.0
236,Rome1028957398332031366,2.0
237,Rome1028958295584923015,1.0
238,Rome1029492978333415681,2.0
239,Rome1030388435695860134,2.0
240,Rome10306762,4.0
241,Rome10309480,2.0
242,Rome1031078240358043959,2.0
243,Rome1031133443712495676,5.0
244,Rome1031681787588345469,3.0
245,Rome103190,3.0
246,Rome1032577791831917625,2.0
247,Rome1032593104242182008,1.0
248,Rome10330227,5.0
249,Rome1033327030324764932,2.0
250,Rome1034024,1.0
251,Rome1034232,4.0
252,Rome1034513073984447683,1.0
253,Rome1034662085283898358,5.0
254,Rome10349066,3.0
255,Rome1035637646027077700,3.0
256,Rome10358936,5.0
257,Rome1036057101623031687,3.0
258,Rome1036148508789628395,2.0
259,Rome10361661,2.0
260,Rome1036725024166706489,5.0
261,Rome1036814152319076583,3.0
262,Rome1036823188106936792,2.0
263,Rome10371607,2.0
264,Rome1038863806555096310,1.0
265,Rome1038924146893342907,1.0
266,Rome1039073906756712181,1.0
267,Rome10397636,4.0
268,Rome10399235,2.0
269,Rome1040398155461085196,2.0
270,Rome10405889,2.0
271,Rome1040846,2.0
272,Rome1041401963502234937,2.0
273,Rome10417577,5.0
274,Rome10427122,2.0
275,Rome1042725,2.0
276,Rome10447165,2.0
277,Rome1045646,5.0
278,Rome10467574,5.0
279,Rome10479148,2.0
280,Rome10482386,3.0
281,Rome10485568,5.0
282,Rome10493958,5.0
283,Rome1049639,3.0
284,Rome1049890,5.0
285,Rome1050056,2.0
286,Rome10508778,2.0
287,Rome1051382,1.0
288,Rome10515869,2.0
289,Rome10540531,1.0
290,Rome1054438,4.0
291,Rome10547621,2.0
292,Rome1054864,2.0
293,Rome10596281,1.0
294,Rome10607682,3.0
295,Rome10611654,3.0
296,Rome1061245,3.0
297,Rome10615065,1.0
298,Rome10622102,5.0
299,Rome10663995,3.0
300,Rome10664307,3.0
301,Rome10669377,1.0
302,Rome10669776,2.0
303,Rome1067728,3.0
304,Rome10684240,2.0
305,Rome10696280,3.0
306,Rome10700775,5.0
307,Rome10704249,5.0
308,Rome10713265,2.0
309,Rome10716703,5.0
310,Rome1072962,5.0
311,Rome10737622,1.0
312,Rome10737970,5.0
313,Rome10742482,2.0
314,Rome10760468,5.0
315,Rome10764154,1.0
316,Rome10767114,3.0
317,Rome10776944,1.0
318,Rome10778131,1.0
319,Rome10784131,1.0
320,Rome10798172,3.0
321,Rome1081242,3.0
322,Rome10815957,3.0
323,Rome10816776,5.0
324,Rome10823164,3.0
325,Rome10833682,5.0
326,Rome10834150,2.0
327,Rome10834411,5.0
328,Rome10844467,1.0
329,Rome1084634,3.0
330,Rome1084807,3.0
331,Rome1085980,5.0
332,Rome1086364,1.0
333,Rome10868634,5.0
334,Rome10873042,2.0
335,Rome10875327,4.0
336,Rome10881268,5.0
337,Rome10896280,5.0
338,Rome10897674,3.0
339,Rome10910203,5.0
340,Rome10912865,3.0
341,Rome10918986,5.0
342,Rome1093536,1.0
343,Rome10938807,5.0
344,Rome10942731,5.0
345,Rome10975280,4.0
346,Rome10976229,3.0
347,Rome1098701,5.0
348,Rome10990903,1.0
349,Rome1099890,5.0
350,Rome11025704,5.0
351,Rome11035051,3.0
352,Rome11037666,5.0
353,Rome11050647,2.0
354,Rome11056399,1.0
355,Rome1106021,5.0
356,Rome11060417,3.0
357,Rome11077928,5.0
358,Rome11081804,1.0
359,Rome1108531,5.0
360,Rome11094750,2.0
361,Rome11098505,1.0
362,Rome11122512,3.0
363,Rome11123872,4.0
364,Rome1113395,5.0
365,Rome11136708,4.0
366,Rome11142853,1.0
367,Rome11145406,2.0
368,Rome11162720,3.0
369,Rome1116417,5.0
370,Rome11175777,4.0
